Year,Season,Week,Effort.days,Catch.kg,Mbw.g
2002,1,39,43,193,763.5
2002,1,40,80,484,768.6
2002,1,41,19,174,764.1
2002,1,42,35,268,768.2
2002,1,43,72,232,766.2
2002,1,44,68,1922,766.9
2002,1,45,16,200,768.6
2002,1,46,18,209,764.1
2002,1,47,24,209,763.9
2002,1,48,99,941,771
2002,1,49,38,549,763.9
2002,1,50,53,540,764.1
2002,1,51,34,365,761.5
2002,1,52,8,114,766.1
2003,1,0,56,619,767.7
2003,1,1,35,511,768.3
2003,1,2,32,419,766
2003,1,3,56,533,770.9
2003,1,4,56,556,774
2003,1,5,41,457,772.9
2003,1,6,59,699,775.7
2003,1,7,35,432,779.6
2003,1,8,32,458,777
2003,1,9,41,496,781.7
2003,1,10,62,777,783.5
2003,1,11,54,678,784.7
2003,1,12,56,743,783.5
2003,1,13,40,330,789.1
2003,1,14,42,526,791
2003,1,15,38,376,785.3
2003,1,16,32,329,785.8
2003,1,17,37,630,789.6
2003,1,18,34,363,788.1
2003,1,19,25,268,788.2
2003,1,20,6,102,792.7
2003,1,21,3,337,793.4
2003,2,36,1,14,774.1
2003,2,37,1,8,772.5
2003,2,38,2,16,767.6
2003,2,39,212,1916,768.2
2003,2,40,126,1196,768.5
2003,2,41,54,1230,765.3
2003,2,42,82,1030,763.7
2003,2,43,165,2184,765.8
2003,2,44,127,1255,765.8
2003,2,45,60,1050,765.9
2003,2,46,58,1813,767.8
2003,2,47,117,2235,767.1
2003,2,48,286,3320,769.3
2003,2,49,31,1067,766.6
2003,2,50,30,681,765.8
2003,2,51,22,576,768.2
2003,2,52,15,746,763.6
2004,2,0,325,2037,764.2
2004,2,1,49,677,766.1
2004,2,2,14,273,769.9
2004,2,3,144,781,773.5
2004,2,4,166,1836,772.1
2004,2,5,235,1469,774.5
2004,2,6,58,958,776.1
2004,2,7,27,965,777.2
2004,2,8,24,781,778.3
2004,2,9,405,2271,779.3
2004,2,10,50,1023,787
2004,2,11,38,726,783
2004,2,12,40,855,784
2004,2,13,396,2489,786
2004,2,14,41,521,787.8
2004,2,15,59,1032,788.1
2004,2,16,18,360,786.4
2004,2,17,179,1268,792.6
2004,2,18,109,783,788.6
2004,2,19,25,501,786.1
2004,2,21,1,44,784.5
2004,2,24,1,146,789.8
2004,3,35,1,11,769
2004,3,39,33,401,769.3
2004,3,40,133,2140,766.3
2004,3,41,89,1390,767.8
2004,3,42,114,1538,769.7
2004,3,43,119,1181,765.7
2004,3,44,66,896,765.6
2004,3,45,75,1078,766.4
2004,3,46,68,1026,767.4
2004,3,47,70,1404,762.6
2004,3,48,141,1819,765.3
2004,3,49,71,1116,763.3
2004,3,50,67,1055,767.2
2004,3,51,77,1517,764.6
2004,3,52,61,1228,761.4
2005,3,1,115,2248,768.8
2005,3,2,79,1642,769.9
2005,3,3,43,1061,770.4
2005,3,4,48,1165,771.6
2005,3,5,84,1718,774.6
2005,3,6,53,1235,777.7
2005,3,7,51,1320,779.2
2005,3,8,29,518,781.8
2005,3,9,105,2165,779.7
2005,3,10,44,864,780.1
2005,3,11,67,1202,788.1
2005,3,12,49,938,783.3
2005,3,13,123,1974,783.6
2005,3,14,81,1569,790.3
2005,3,15,107,1879,790.6
2005,3,16,59,1038,792.1
2005,3,17,60,1052,790
2005,3,18,35,445,792.5
2005,3,19,44,486,790.4
2005,3,21,1,115,785.9
2005,4,35,3,127,766.1
2005,4,36,3,132,769.1
2005,4,37,5,150,765.1
2005,4,38,3,59,769.2
2005,4,39,15,194,771.2
2005,4,40,96,2208,766.5
2005,4,41,146,3785,765.4
2005,4,42,121,2756,767.4
2005,4,43,83,2161,763.8
2005,4,44,117,2994,765.1
2005,4,45,101,2421,765.3
2005,4,46,84,1446,769.9
2005,4,47,58,1489,767.9
2005,4,48,114,2577,764.5
2005,4,49,52,856,761.6
2005,4,50,56,1198,763.6
2005,4,51,60,1179,760.2
2005,4,52,52,1194,762.2
2006,4,0,1,15,761
2006,4,1,91,2216,764.4
2006,4,2,39,1049,768.4
2006,4,3,36,982,770.4
2006,4,4,38,1201,773
2006,4,5,63,2013,773.2
2006,4,6,47,1061,779.6
2006,4,7,38,793,780.8
2006,4,8,23,354,781.4
2006,4,9,70,1126,779.5
2006,4,10,19,442,782.1
2006,4,11,35,426,786.5
2006,4,12,43,428,783.3
2006,4,13,52,976,788.2
2006,4,14,49,609,786.4
2006,4,15,19,299,791.9
2006,4,16,23,265,784.9
2006,4,17,20,200,788.7
2006,4,18,25,287,792.1
2006,4,19,17,126,791.1
2006,5,39,40,586,767.3
2006,5,40,71,1539,764.5
2006,5,41,120,1625,766.7
2006,5,42,94,1673,768
2006,5,43,77,1271,768.8
2006,5,44,76,1123,767.7
2006,5,45,92,1193,763.9
2006,5,46,85,1687,766.3
2006,5,47,51,959,764.9
2006,5,48,126,1741,761.4
2006,5,49,62,776,761.7
2006,5,50,38,682,766.2
2006,5,51,57,1053,768.2
2006,5,52,58,934,765.4
2007,5,1,246,2738,767.5
2007,5,2,45,868,769.3
2007,5,3,38,875,773.1
2007,5,4,51,1271,773.7
2007,5,5,205,3681,777.7
2007,5,6,47,820,776.1
2007,5,7,86,1968,778.7
2007,5,8,50,1255,781.7
2007,5,9,262,3231,780.1
2007,5,10,50,598,781.4
2007,5,11,46,813,785.9
2007,5,12,18,323,785.7
2007,5,13,170,1697,781.9
2007,5,14,47,987,783.8
2007,5,15,32,562,791.9
2007,5,16,34,729,790.5
2007,5,17,27,312,788.1
2007,5,18,66,1205,789.4
2007,5,19,8,162,786.5
2007,5,20,2,128,793.4
2007,5,21,1,16,793
2007,6,40,120,1359,765.2
